,Date,Product_ID,Demand,Inventory
0,2023-06-01,P1,51,5500
1,2023-06-02,P1,141,5449
2,2023-06-03,P1,172,5308
3,2023-06-04,P1,91,5136
4,2023-06-05,P1,198,5045
5,2023-06-06,P1,70,4847
6,2023-06-07,P1,95,4777
7,2023-06-08,P1,53,4682
8,2023-06-09,P1,136,4629
9,2023-06-10,P1,168,4493
10,2023-06-11,P1,126,4325
11,2023-06-12,P1,135,4199
12,2023-06-13,P1,198,4064
13,2023-06-14,P1,135,3866
14,2023-06-15,P1,120,3731
15,2023-06-16,P1,67,3611
16,2023-06-17,P1,190,3544
17,2023-06-18,P1,196,3354
18,2023-06-19,P1,125,3158
19,2023-06-20,P1,143,3033
20,2023-06-21,P1,107,2890
21,2023-06-22,P1,108,2783
22,2023-06-23,P1,56,2675
23,2023-06-24,P1,69,2619
24,2023-06-25,P1,52,2550
25,2023-06-26,P1,93,2498
26,2023-06-27,P1,83,2405
27,2023-06-28,P1,135,2322
28,2023-06-29,P1,56,2187
29,2023-06-30,P1,152,2131
30,2023-07-01,P1,142,1979
31,2023-07-02,P1,183,1837
32,2023-07-03,P1,98,1654
33,2023-07-04,P1,95,1556
34,2023-07-05,P1,78,1461
35,2023-07-06,P1,108,1383
36,2023-07-07,P1,191,1275
37,2023-07-08,P1,146,1084
38,2023-07-09,P1,84,938
39,2023-07-10,P1,125,854
40,2023-07-11,P1,70,729
41,2023-07-12,P1,96,659
42,2023-07-13,P1,130,563
43,2023-07-14,P1,174,433
44,2023-07-15,P1,157,259
45,2023-07-16,P1,128,102
46,2023-07-17,P1,100,0
47,2023-07-18,P1,199,0
48,2023-07-19,P1,99,0
49,2023-07-20,P1,88,0
50,2023-07-21,P1,123,0
51,2023-07-22,P1,63,0
52,2023-07-23,P1,126,0
53,2023-07-24,P1,190,0
54,2023-07-25,P1,153,0
55,2023-07-26,P1,71,0
56,2023-07-27,P1,158,0
57,2023-07-28,P1,174,0
58,2023-07-29,P1,72,0
59,2023-07-30,P1,52,0
60,2023-07-31,P1,188,0
61,2023-08-01,P1,102,0
